65507,1,1
1175889,6,762
275288,65,1964189
998799,1,1
165307,9,378
6733,2,280
31057,1,2
466,1,49
292098,1,95
692,1,104
540,1,61
34911,2,314
136733,9,8496
15506,3,610
400680,1,1
1171166,4,706
291,1,1
40724,2,552
16359,2,292
23069,4,3193
168167,2,314
1301,1,123
1169640,6,1907662
262,1,1
1172365,4,183
94638,1,99
2749,65,20860
96856,1,2
1171929,1,49
1168305,65,635
16989,7,1965294
1167652,7,1965294
485115,9,378
87641,3,282
470,1,49
480104,9,378
298,1,1
43859,9,1515864
186,1,1
4223,1,110
949678,65,635
6911,1,158
245006,1,49
4647,1,61
1166553,7,1965294
572445,1,61
406136,65,458
242300,1,104
604509,1,99
12524,4,183
8732,1,104
98867,4,14
17569,4,906
1070656,8,6963
20039,4,706
2903,1,104
2781,3,538
227,1,1
176248,1,1
44308,2,1057
1168272,2,185
337752,9,378
1257,1,60
250,1,1
19107,2,280
773,1,123
478267,9,5331
400368,1,1
244073,1,49
1168233,1,1
10670,1,110
834094,1,73
150693,2,627
1168302,65,1951986
549948,1,1
75901,1,49
1168848,1,1
522240,1,1
94100,1,49
4104,1,104
337156,1,72
1012464,9,1017
24146,1,72
105323,2,185
1170751,1,1
5498,1,73
588,1,73
1171057,1,49
771110,1,1
22,1,2
1173344,65,1964189
1166592,1,1
980913,1,1
2717,4,205
56,1,2
142334,1,60
1172766,4,14
16765,2,314
481044,9,378
149146,9,5331
47785,3,392
103627,1,10
90970,5,1957236
167838,2,314
1171842,1,1
105282,1,2
23115,1,1
341502,7,1965294
747034,1,1
29579,4,3193
329,1,1
410677,65,4183
2979,6,762
321778,65,635
727,1,110
53561,6,762
1169503,7,1965294
55,1,2
1012457,9,1017
62644,2,314
10338,1,49
289806,2,280
212,1,1
861428,2,280
10587,2,292
42037,2,627
459733,1,110
39577,2,185
1166512,2,916
1064219,9,1708303
516914,1,1
6378,4,284
459686,1,119
563195,1,60
163,1,1
91528,2,292
22858,4,7279
26,1,2
269794,65,458
101486,3,281
18180,1,95
1168298,65,219
36578,6,762
12815,1,49
51089,4,183
243831,1,60
940610,1,1
1164628,3,282
586220,1,1
1173671,65,1964189
1172756,9,378
2899,2,292
65771,1,104
303,1,1
149152,9,5331
1172972,2,628
13969,1,95
1170497,3,282
55272,9,8496
1171338,1,1
1174773,3,282
134,1,1
90764,1,1
884,1,151
69931,4,906
95294,1,95
87176,9,378
7570,2,916
104154,1,2
94639,1,1
244,1,1
1168477,1,2
6998,4,361
1168358,2,314
41030,2,280
139321,6,762
50,1,2
895,1,153
832494,1,1
180735,9,208
23274,1,73
40432,3,649
237237,7,1965294
1172961,65,20860
100539,7,21032
1022424,1,1
620817,1,72
16631,3,649
9168,65,4183
18215,7,1965294
138428,9,378
748247,1,73
169688,3,282
236592,7,1969977
56348,1,2
196350,1,2
19281,2,314
652836,1,110
165292,9,378
679,1,99
406120,65,458
136722,9,8496
1088029,9,1515864
180724,9,208
123,1,1
1170575,65,4183
31058,1,110
1163496,8,2583
16908,2,314
748662,1,99
7927,1,1
750,1,119
41058,2,223
1173071,1,1
1173485,5,1957236
98434,3,282
4200,1,123
567270,1,99
60837,2,223
1172007,1,1
3013,1,99
1169534,6,762
44304,2,1057
1173047,6,762
2055,1,158
1166414,4,183
174,1,1
1168317,2,314
2241,1,110
46992,7,1965294
149165,9,5331
545445,2,650
57323,2,185
410,1,37
39541,9,8496
1012462,9,1017
1175559,1,1
32373,7,3631
429,1,10
31168,2,292
37,1,2
469643,9,1661
243904,2,314
68,1,2
23602,4,284
242,1,1
1169507,1,1
153615,9,378
694863,1,2
1169017,2,761
23124,1,2
471523,9,1515864
97038,1,99
19313,2,223
77393,1,158
16694,1,2
166,1,1
1172741,1,1
242307,1,95
1223,2,280
412828,65,1711731
15285,1,2
904212,1,1
145331,65,1711731
61,1,2
10135,3,282
1012480,9,1017
1167470,1,1
8852,4,730
107,1,1
765,1,119
1170650,65,216
11194,1,153
396070,4,7279
7780,1,2
3371,3,467
1175132,1,99
1167266,5,1957236
646,1,95
292067,2,552
30660,6,762
353457,5,1957236
17093,2,1057
1012473,9,1017
66826,1,2
41021,2,280
217,1,1
1168186,2,314
336,1,1
302952,65,1964189
67068,1,1
1088036,9,1515864
21185,2,1057
1175782,65,1964189
544286,1,158
1164679,6,762
328,1,1
503847,1,1
499965,3,1107
1168582,5,1941483
24961,1,1
196726,2,314
51148,2,377
1167909,6,1907662
1166494,1,73
3035,1,2
544167,1,153
1169728,5,1950532
13,1,2
140276,9,5331
549833,1,99
657,1,95
1646,1,2
37131,2,916
11711,2,1057
61277,9,5331
1174433,65,21118
224561,5,1957236
1170461,1,1
1172249,1,1
747038,1,110
95583,6,1697
58452,1,1
46,1,2
206,1,1
538316,2,314
4178,1,49
1163667,1,1
255,1,1
728,1,110
1012439,9,1017
325,1,1
1166230,1,1
7860,1,2
877,1,151
180726,9,208
477819,9,5331
595,1,73
11571,1,1
414771,1,104
1168295,1,1
545317,1,1
1168227,2,314
149793,65,635
3814,2,314
949,9,1515864
65532,1,1
296,1,1
1012468,9,1017
3063,2,314
131538,2,627
1170644,65,635
401130,1,123
370686,65,263
11931,1,104
15268,1,1
99,1,1
1170727,1,1
110639,7,1965294
1168751,65,458
12900,2,377
1170635,65,1964189
240571,2,280
1168455,65,635
177,1,1
126123,1,49
136707,9,8496
426398,1,1
64677,6,762
1153,2,314
3597,1,2
1164269,8,4432
140414,9,378
1172201,1,1
18273,1,2
123187,5,1957236
164806,2,627
1034454,8,3296
133751,1,119
586985,1,158
6422,4,183
12032,3,282
56096,1,2
1164625,2,280
473677,9,1017
1163512,8,2583
848376,1,49
538,1,61
94028,9,378
39329,3,244
1164485,1,60
1171829,1,1
1166821,5,1957236
1168466,4,183
4216,1,95
24,1,2
5483,1,123
294951,5,1957236
114918,7,3631
1168920,1,1
10569,1,2
136735,9,8496
105699,2,444
253,1,1
1798,1,37
1064212,9,1708303
56084,1,158
30381,4,3193
169681,1,49
1164710,4,173
1108158,8,2583
343831,1,1
400816,2,314
1155588,2,314
527,1,60
25526,2,916
485215,9,378
198580,5,1957236
209,1,1
555632,1,1
888,1,153
7122,2,185
196775,1,61
18712,1,99
340698,4,14
40976,2,280
179599,2,314
79392,1,1
334866,65,635
246304,5,1957236
1172842,1,119
6773,2,280
31054,1,1
4638,4,14
7279,1,1
706573,1,1
155,1,1
1012435,9,1017
94,1,1
12010,1,2
37408,2,223
1088025,9,1515864
1173332,65,458
264366,65,458
1164711,1,1
24378,2,1057
1088040,9,1515864
240897,1,110
513230,1,2
14668,1,61
138543,7,1951841
83,1,2
71392,9,378
6152,1,123
30270,6,762
165336,9,378
1085594,2,314
1164361,2,314
15983,5,1941483
414,1,37
49810,65,458
1164388,3,282
1171931,2,314
1164404,1,1
1164592,4,183
59902,2,444
900474,4,183
97142,1,95
79385,1,1
233191,2,314
19781,2,627
160245,65,21118
57446,1,1
64072,9,1515864
1166490,1,1
35,1,2
1173321,6,762
38239,4,205
314,1,1
9541,9,378
233,1,1
64326,4,14
207229,65,635
4493,1,151
334009,7,21032
306,1,1
754,1,119
16,1,2
725,1,110
16919,1,110
1174740,4,14
73358,8,402
1170681,2,292
4635,1,60
4281,4,14
1175913,1,2
657601,1,2
414502,65,1711829
1164202,6,762
1125788,8,2583
91571,2,314
38602,2,1057
23071,4,3193
143327,7,1965294
139316,6,762
17615,2,280
1173533,65,216
1064181,9,1708303
545460,2,314
11290,1,2
7671,2,314
234308,2,314
2044,1,99
17685,1,73
1170844,1,1
731,1,110
499507,1,99
192,1,1
1107,1,153
136708,9,8496
1172998,1,2
1169132,65,458
79,1,2
1012484,9,1017
426,1,10
33289,2,223
1163458,4,183
64188,8,22427
25689,2,185
1163174,9,1661
279,1,1
1166229,1,37
18900,1,110
14485,1,60
95062,1,61
962680,4,1006
24129,1,73
499700,9,208
1163167,9,1661
2477,4,730
1175214,8,402
195263,7,1951841
64923,1,99
18284,2,377
15596,9,8496
761,1,119
191771,1,1
1130890,4,1006
784,1,123
226373,5,1957236
11683,1,2
202046,65,458
341,1,1
152,1,1
24151,1,72
9426,2,314
12752,2,314
3851,4,183
333605,9,378
5303,4,536
1175621,7,1965294
1163209,1,2
1166989,1,1
233179,1,110
583,1,73
9675,1,158
18195,2,627
243853,1,1
951,1,2
231,1,1
1174989,1,49
189565,65,1964189
912509,6,762
1175262,4,183
31025,1,2
225827,7,1965294
1114370,4,14
5627,1,1
115759,9,1515864
5,1,2
1169738,65,458
646614,1,104
11014,9,378
372549,1,1
105328,2,314
1173642,1,99
66913,1,72
350,1,1
1169019,2,314
97175,1,1
499428,1,123
1164390,7,1965294
12536,1,158
219038,65,691
22074,2,650
33221,65,1711731
97074,3,282
103,1,1
177509,1,73
72,1,2
240952,1,1
24957,1,2
48793,3,282
1169336,2,314
105012,1,1
1276,1,1
406116,65,458
16140,1,99
481754,9,378
44816,3,282
31036,1,1
555631,1,1
268,1,1
6400,2,314
1175098,1,2
106486,6,762
245647,6,762
1168336,1,37
7328,1,119
14867,1,2
10,1,2
2232,1,104
472377,9,1017
1404,4,183
169854,1,110
555635,1,1
1176134,1,2
15714,4,205
25226,2,650
1163491,8,2583
1168834,1,99
1001754,9,208
2194,1,95
1164260,8,798
33975,4,2131
1168501,65,1711829
1167855,1,1
1169527,3,282
366635,65,263
973713,4,14
625622,3,610
3272,2,314
1167452,1,60
2780,2,552
108279,9,5331
21173,1,104
240562,3,649
274,1,1
330,1,1
1168415,65,1951986
34832,2,280
2823,1,72
560965,2,761
1169008,4,2131
1164265,8,1515615
1100680,2,314
8641,2,455
31743,6,762
1168442,6,762
1169759,65,458
23118,1,2
199,1,1
1168769,2,314
900,1,153
1168812,1,1
1172921,7,1965294
18761,1,49
68442,8,3296
307310,7,21032
90778,1,2
2548,2,1057
665,1,99
2306,1,2
1168969,2,185
124316,9,5331
159,1,1
2982,1,119
160272,65,20860
244046,1,2
659157,1,99
1172230,1,1
34199,2,280
1130917,7,1965294
1168867,1,49
1172263,4,183
1164207,8,3296
88495,9,378
544257,1,1
1169712,7,1965294
586218,1,104
28548,1,2
9084,1,73
17051,2,552
102274,3,282
1166817,7,1965294
283652,7,1965294
59,1,2
1163162,9,1661
543756,1,99
536591,1,1
60455,1,99
353,4,14
118612,2,280
485028,9,378
1012441,9,1017
940627,4,706
144,1,1
87,1,1
112212,5,1950532
27741,65,458
913,1,158
3720,1,1
48033,1,1
1172364,1,2
170275,2,314
131276,5,1957236
1169187,1,2
39581,2,185
174860,2,627
36937,2,280
1164690,4,730
4720,1,1
5037,1,2
167700,1,95
44031,2,628
21869,2,280
412829,65,1711731
1170748,4,1517767
31991,2,223
414755,1,110
34534,65,1951986
544309,1,2
413370,65,219
1170005,5,1957236
890,1,153
315308,1,104
37193,2,280
64286,2,444
146316,7,1969977
237,1,1
263,1,1
629339,4,7279
1066,3,282
427698,4,906
345078,1,1
9967,1,123
364705,7,1965294
66346,1,1
16215,2,314
2396,1,1
1173100,8,22427
1012463,9,1017
1172314,2,314
499379,1,60
2711,3,282
340,1,1
171211,1,151
104562,1,99
57142,1,1
22674,9,5331
317,1,1
908724,4,730
544118,1,1
4836,4,183
